ingredient_name,Sweetness,Acidity,Saltiness,Bitterness,Umami,Spiciness_Heat,Richness,Texture_Prep
설탕,5,1,1,1,1,1,1,1
소갈비,2,1,2,1,5,1,5,4
소고기,1,1,1,1,5,1,4,4
소고기다진것,1,1,1,1,5,1,4,3
소고기등심,1,1,1,1,5,1,5,4
소금,1,1,5,1,1,1,1,1
소불고기,3,1,3,1,5,1,4,3
소스,2,2,3,1,3,1,1,2
소시지,1,1,3,1,4,1,4,3
소주,1,1,1,2,1,1,1,1
소주컵,1,1,1,1,1,1,1,1
속대,1,1,1,1,1,1,1,2
쇠고기다시다,1,1,4,1,5,1,1,1
숙주나물,1,1,1,1,1,1,1,2
순대,1,1,2,1,4,1,3,4
순두부,1,1,1,1,2,1,1,4
스트링치즈,1,1,3,1,3,1,4,4
스팸,1,1,5,1,4,1,4,3
슬라이스햄,1,1,4,1,4,1,3,3
시금치,1,1,1,2,1,1,1,2
식용유,1,1,1,1,1,1,5,3
식초,1,5,1,1,1,1,1,1
신김치,1,5,4,1,4,3,1,2
쌀뜨물,1,1,1,1,1,1,1,2
쌍화탕,2,1,1,4,1,1,1,1
아구,1,1,1,1,4,1,1,3
안심,1,1,1,1,5,1,3,4
알룰로스,4,1,1,1,1,1,1,1
애호박,2,1,1,1,1,1,1,2
액상,1,1,1,1,1,1,1,1
액젓,1,1,5,1,5,1,1,1
양배추,2,1,1,1,1,1,1,2
양파,3,1,1,1,2,1,1,2
양파가루,2,1,1,1,2,1,1,1
양파즙,3,1,1,1,2,1,1,1
어묵,1,1,2,1,4,1,2,3
오겹살,1,1,1,1,4,1,5,4
오뎅,1,1,2,1,4,1,2,3
오만둥이,1,1,3,1,4,1,1,3
오이,1,1,1,1,1,1,1,2
오이지,1,2,4,1,2,1,1,2
오징어,1,1,2,1,5,1,1,3
옥수수전분,1,1,1,1,1,1,1,5
올리고,4,1,1,1,1,1,1,2
올리고당,5,1,1,1,1,1,1,2
올리브오일,1,1,1,1,1,1,5,3
올리브유,1,1,1,1,1,1,5,3
우스터소스,2,2,3,1,4,1,1,1
우엉,2,1,1,2,2,1,1,3
우유,1,1,1,1,2,1,3,2
원당,4,1,1,1,1,1,1,1
월계수잎,1,1,1,3,1,1,1,1
인스턴트커피,1,1,1,4,1,1,1,1
잘게,1,1,1,1,1,1,1,1
잠봉,1,1,4,1,4,1,3,3
잡채용,1,1,1,1,1,1,1,1
전분가루,1,1,1,1,1,1,1,5
조청,4,1,1,1,1,1,1,2
족발,1,1,2,1,4,1,4,4
줄기,1,1,1,1,1,1,1,1
중국간장,1,1,5,1,4,1,1,1
중면,1,1,1,1,1,1,1,4
진간장,1,1,5,1,5,1,1,1
집간장,1,1,5,1,4,1,1,1
쪽파,2,1,1,1,2,1,1,1
쭈꾸미,1,1,2,1,4,1,1,3
찜용콩나물,1,1,1,1,1,1,1,2
참기름,1,1,1,1,2,1,5,3
찹쌀가루,1,1,1,1,1,1,1,5
채끝살,1,1,1,1,5,1,4,4
채썬,1,1,1,1,1,1,1,1
청고추,1,1,1,1,1,4,1,1
청양고추,1,1,1,1,1,5,1,1
청주,1,1,1,1,1,1,1,1
체다치즈,1,1,3,1,3,1,5,3
춘장,1,1,4,2,4,1,3,3
치즈,1,1,3,1,3,1,5,4
치즈가루,1,1,3,1,4,1,4,2
칠리소스,3,2,2,1,2,3,1,2
카레가루,1,1,2,2,3,2,1,2
캐러멜소스,4,1,1,2,1,1,2,2
케찹,3,3,2,1,2,1,1,2
콩나물,1,1,1,1,1,1,1,2
타임,1,1,1,3,1,1,1,1
토마토케찹,3,3,2,1,2,1,1,2
통깨,1,1,1,1,2,1,3,2
통마늘,2,1,1,2,2,1,1,2
통삼겹살,1,1,1,1,4,1,5,4
통후추,1,1,1,2,1,3,1,1
튀김가루,1,1,2,1,2,1,1,4
튀김용,1,1,1,1,1,1,1,1
파마산,1,1,4,1,5,1,4,2
파스타면,1,1,1,1,1,1,1,4
파프리카,2,1,1,1,1,1,1,2
파프리카가루,1,1,1,1,1,1,1,1
팽이버섯,1,1,1,1,2,1,1,2
표고버섯,1,1,1,1,4,1,1,2
풋고추,1,1,1,1,1,2,1,1
피쉬액젓,1,1,5,1,5,1,1,1
핫소스,1,3,2,1,1,4,1,1
항정살,1,1,1,1,4,1,5,4
호박,2,1,1,1,1,1,1,2
홍고추,1,1,1,1,1,3,1,1
홍삼,1,1,1,4,1,1,1,1
홍합,1,1,2,1,5,1,1,2
황설탕,5,1,1,1,1,1,1,1
후추,1,1,1,1,1,3,1,1
후추가루,1,1,1,1,1,3,1,1
후춧가루,1,1,1,1,1,3,1,1
